date,txVolume,adjustedTxVolume,txCount,marketcap,price,exchangeVolume,realizedCap,generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue,medianFee,blockSize,blockCount
2009-01-03,,,,,,,0.0,,,,,,,,,
2009-01-04,,,,,,,0.0,,,,,,,,,
2009-01-05,,,,,,,0.0,,,,,,,,,
2009-01-06,,,,,,,0.0,,,,,,,,,
2009-01-07,,,,,,,0.0,,,,,,,,,
2009-01-08,,,,,,,0.0,,,,,,,,,
2009-01-09,,,0,,,,0.0,700.0,0.0,14,1.0,0,,,3010,14
2009-01-10,,,0,,,,0.0,3050.0,0.0,61,1.0,0,,,13129,61
2009-01-11,,,0,,,,0.0,4650.0,0.0,93,1.0,0,,,20033,93
2009-01-12,,,7,,,,0.0,4700.0,0.0,102,1.0,5,,0.0,22031,94
2009-01-13,,,0,,,,0.0,6150.0,0.0,123,1.0,0,,,26527,123
2009-01-14,,,1,,,,0.0,6450.0,0.0,133,1.0,0,,0.0,28276,129
2009-01-15,,,8,,,,0.0,6300.0,0.0,140,1.0,6,,0.0,30061,126
2009-01-16,,,2,,,,0.0,5400.0,0.0,114,1.0,0,,0.0,23854,108
2009-01-17,,,0,,,,0.0,5450.0,0.0,109,1.0,0,,,23528,109
2009-01-18,,,1,,,,0.0,5350.0,0.0,111,1.0,0,,0.0,23534,107
2009-01-19,,,2,,,,0.0,5750.0,0.0,133,1.0,0,,0.0,26783,115
2009-01-20,,,1,,,,0.0,5700.0,0.0,123,1.0,0,,0.0,25619,114
2009-01-21,,,1,,,,0.0,5100.0,0.0,105,1.0,0,,0.0,22337,102
2009-01-22,,,1,,,,0.0,4550.0,0.0,102,1.0,0,,0.0,20816,91
2009-01-23,,,2,,,,0.0,4200.0,0.0,95,1.0,0,,0.0,19256,84
2009-01-24,,,1,,,,0.0,10050.0,0.0,212,1.0,0,,0.0,44634,201
2009-01-25,,,1,,,,0.0,9550.0,0.0,193,1.0,0,,0.0,41447,191
2009-01-26,,,1,,,,0.0,4800.0,0.0,117,1.0,0,,0.0,23035,96
2009-01-27,,,1,,,,0.0,4850.0,0.0,101,1.0,0,,0.0,21370,97
2009-01-28,,,0,,,,0.0,5600.0,0.0,112,1.0,0,,,24153,112
2009-01-29,,,1,,,,0.0,6050.0,0.0,134,1.0,0,,0.0,27498,121
2009-01-30,,,0,,,,0.0,5850.0,0.0,117,1.0,0,,,25257,117
2009-01-31,,,1,,,,0.0,6900.0,0.0,159,1.0,0,,0.0,32080,138
2009-02-01,,,1,,,,0.0,5650.0,0.0,116,1.0,0,,0.0,24657,113
2009-02-02,,,1,,,,0.0,6400.0,0.0,130,1.0,0,,0.0,27788,128
2009-02-03,,,16,,,,0.0,6950.0,2.0100000000000002,154,1.0,14,,0.0,34541,139
2009-02-04,,,0,,,,0.0,5950.0,0.0,119,1.0,0,,,25673,119
2009-02-05,,,0,,,,0.0,6300.0,0.0,126,1.0,0,,,27181,126
2009-02-06,,,0,,,,0.0,6100.0,0.0,122,1.0,0,,,26332,122
2009-02-07,,,4,,,,0.0,6450.0,0.0,156,1.0,1,,0.0,31000,129
2009-02-08,,,1,,,,0.0,6600.0,0.0,134,1.0,0,,0.0,28720,132
2009-02-09,,,1,,,,0.0,6700.0,0.0,179,1.0,0,,0.0,33983,134
2009-02-10,,,0,,,,0.0,6000.0,0.0,120,1.0,0,,,25880,120
2009-02-11,,,2,,,,0.0,6650.0,0.0,147,1.0,0,,0.0,30474,133
2009-02-12,,,0,,,,0.0,5950.0,0.0,119,1.0,0,,,25689,119
2009-02-13,,,0,,,,0.0,6200.0,0.0,124,1.0,0,,,26772,124
2009-02-14,,,0,,,,0.0,6800.0,0.0,136,1.0,0,,,29347,136
2009-02-15,,,3,,,,0.0,6400.0,0.0,142,1.0,0,,0.0,29361,128
2009-02-16,,,1,,,,0.0,6100.0,0.0,153,1.0,0,,0.0,29789,122
2009-02-17,,,0,,,,0.0,5850.0,0.0,117,1.0,0,,,25260,117
2009-02-18,,,0,,,,0.0,5900.0,0.0,118,1.0,0,,,25481,118
2009-02-19,,,1,,,,0.0,6200.0,0.0,141,1.0,0,,0.0,28650,124
2009-02-20,,,0,,,,0.0,6100.0,0.0,122,1.0,0,,,26334,122
2009-02-21,,,0,,,,0.0,5700.0,0.0,114,1.0,0,,,24620,114
2009-02-22,,,4,,,,0.0,6050.0,0.0,133,1.0,0,,0.0,27654,121
2009-02-23,,,0,,,,0.0,5400.0,0.0,108,1.0,0,,,23327,108
2009-02-24,,,0,,,,0.0,5300.0,0.0,106,1.0,0,,,22889,106
2009-02-25,,,0,,,,0.0,5250.0,0.0,105,1.0,0,,,22666,105
2009-02-26,,,0,,,,0.0,5350.0,0.0,107,1.0,0,,,23108,107
2009-02-27,,,1,,,,0.0,5750.0,0.0,152,1.0,0,,0.0,28957,115
2009-02-28,,,1,,,,0.0,4950.0,0.0,107,1.0,0,,0.0,22228,99
2009-03-01,,,0,,,,0.0,5250.0,0.0,105,1.0,0,,,22675,105
2009-03-02,,,0,,,,0.0,5400.0,0.0,108,1.0,0,,,23324,108
2009-03-03,,,2,,,,0.0,5250.0,0.0,114,1.0,0,,0.0,23670,105
2009-03-04,,,2,,,,0.0,5200.0,0.0,130,1.0,1,,0.0,25450,104
2009-03-05,,,1,,,,0.0,5600.0,0.0,121,1.0,0,,0.0,25134,112
2009-03-06,,,0,,,,0.0,5850.0,0.0,117,1.0,0,,,25263,117
2009-03-07,,,0,,,,0.0,5450.0,0.0,109,1.0,0,,,23541,109
2009-03-08,,,3,,,,0.0,5750.0,0.0,142,1.0,0,,0.0,28013,115
2009-03-09,,,0,,,,0.0,5400.0,0.0,108,1.0,0,,,23297,108
2009-03-10,,,0,,,,0.0,5350.0,0.0,107,1.0,0,,,23109,107
2009-03-11,,,0,,,,0.0,5700.0,0.0,114,1.0,0,,,24611,114
